land_cover_land1_sea0_surface , soil_porosity_surface 1.0
soil_porosity_surface , land_cover_land1_sea0_surface 1.0
wilting_point_surface , direct_evaporation_cease_soil_moisture_surface 1.0
direct_evaporation_cease_soil_moisture_surface , wilting_point_surface 1.0
sensible_heat_net_flux_surface , latent_heat_net_flux_surface 0.9999986886978149
latent_heat_net_flux_surface , sensible_heat_net_flux_surface 0.9999986886978149
total_cloud_cover_entire_atmosphere , planetary_boundary_layer_height_surface 0.9997411966323853
planetary_boundary_layer_height_surface , total_cloud_cover_entire_atmosphere 0.9997411966323853
land_cover_land1_sea0_surface , transpiration_stress-onset_soil_moisture_surface 0.9907917380332947
transpiration_stress-onset_soil_moisture_surface , land_cover_land1_sea0_surface 0.9907917380332947
transpiration_stress-onset_soil_moisture_surface , soil_porosity_surface 0.9907917380332947
soil_porosity_surface , transpiration_stress-onset_soil_moisture_surface 0.9907917380332947
pressure_reduced_to_msl_msl , mean_sea_level_pressure_nam_model_reduction_msl 0.9892709255218506
mean_sea_level_pressure_nam_model_reduction_msl , pressure_reduced_to_msl_msl 0.9892709255218506
number_of_soil_layers_in_root_zone_surface , land_cover_land1_sea0_surface 0.9779152870178223
number_of_soil_layers_in_root_zone_surface , soil_porosity_surface 0.9779152870178223
land_cover_land1_sea0_surface , number_of_soil_layers_in_root_zone_surface 0.9779152870178223
soil_porosity_surface , number_of_soil_layers_in_root_zone_surface 0.9779152870178223
number_of_soil_layers_in_root_zone_surface , transpiration_stress-onset_soil_moisture_surface 0.9675014615058899
transpiration_stress-onset_soil_moisture_surface , number_of_soil_layers_in_root_zone_surface 0.9675014615058899
upward_long_wave_rad_flux_surface , temperature_surface 0.950736403465271
temperature_surface , upward_long_wave_rad_flux_surface 0.950736403465271
transpiration_stress-onset_soil_moisture_surface , wilting_point_surface 0.9386473894119263
transpiration_stress-onset_soil_moisture_surface , direct_evaporation_cease_soil_moisture_surface 0.9386473894119263
wilting_point_surface , transpiration_stress-onset_soil_moisture_surface 0.9386473894119263
direct_evaporation_cease_soil_moisture_surface , transpiration_stress-onset_soil_moisture_surface 0.9386473894119263
soil_type_as_in_zobler_surface , wilting_point_surface 0.9272787570953369
soil_type_as_in_zobler_surface , direct_evaporation_cease_soil_moisture_surface 0.9272787570953369
wilting_point_surface , soil_type_as_in_zobler_surface 0.9272787570953369
direct_evaporation_cease_soil_moisture_surface , soil_type_as_in_zobler_surface 0.9272787570953369
v-component_of_wind_maximum_wind , v-component_of_wind_tropopause 0.9204728603363037
v-component_of_wind_tropopause , v-component_of_wind_maximum_wind 0.9204728603363037
